time,activity
0.0006188013416,-0.2879243515
5.731236459,-0.5707093708
9.671036099,6.398349825
11.82001772,18.87825705
14.68532655,39.48373577
17.55063538,59.50888244
20.41594421,81.56519132
24.71390745,112.9086585
27.57921628,125.0993223
30.44452511,141.0621445
31.87717952,154.4116272
33.30983394,166.8906118
36.17514277,183.1436
39.04045159,193.8834337
40.83126961,198.2382307
46.20372367,204.9189692
50.50168691,211.0179916
54.08332295,217.9865895
58.73944979,222.9254091
62.67924943,226.4124759
65.54455826,227.8669965
69.8425215,225.261038
74.85681196,225.8478285
78.43844799,220.9196191
80.94559322,218.0211879
89.5415197,218.0322595
94.55581015,209.6239029
100.2864278,198.6049748
110.3150087,200.0687217
117.8364444,193.4045906
126.4323709,184.4205151
136.1027882,173.6968274
142.1915694,163.2586926
147.5640235,153.9802993
155.4436228,143.8346371
164.7558765,131.3694919
169.7701669,124.4119655
175.8589482,114.2639968
182.6640566,105.2776148
188.3946743,98.90134307
197.3487644,89.33739687
208.9090013,76.50948628
221.0975484,67.4251149
231.1351755,60.08053977
244.2796871,51.57825521
252.8833674,47.71696643
265.7888879,42.50588879
277.7384439,37.68081691
288.9710266,33.2420586
300.4426003,28.41637108
